Solve Method,Duration(ms)
Depth solved,8065
A* solved g/2,46194
A* solved,51725
Breadth solved,26851
Depth solved,17134
A* solved g(n)=0,40905
A* solved g/4,40975
A* solved g/2,46465
Depth solved,37577
Breadth solved,22463
A* solved g/4,41376
A* solved,43442
A* solved g(n)=0,41359
Depth solved,17421
A* solved g/4,20585
Breadth solved,14677
A* solved g/2,20553
A* solved,27498
A* solved g(n)=0,20558
Depth solved,11996
Breadth solved,23711
A* solved g/2,43365
A* solved g(n)=0,43385
A* solved g/4,43408
A* solved,41988
A* solved g(n)=0,17601
A* solved g/4,12379
Depth solved,40357
A* solved,18466
Breadth solved,11726
A* solved g/2,12382
A* solved g(n)=0,37708
Depth solved,28601
A* solved g/2,32525
Breadth solved,21135
A* solved g/4,32519
A* solved,41027
Depth solved,45095
A* solved g(n)=0,27734
A* solved g/4,27767
Breadth solved,27623
A* solved,54075
A* solved g/2,27684
A* solved,34509
A* solved g(n)=0,20068
A* solved g/4,20128
A* solved g/2,20136
Breadth solved,15436
Depth solved,22560
Depth solved,52128
A* solved g/4,9655
A* solved,30055
A* solved g/2,9685
A* solved g(n)=0,9709
Breadth solved,17701
A* solved g(n)=0,35350
Breadth solved,15961
A* solved g/2,30201
A* solved,30933
A* solved g/4,30245
Depth solved,43193
A* solved,34890
A* solved g(n)=0,21374
A* solved g/2,21405
Depth solved,35225
Breadth solved,16492
A* solved g/4,21546
A* solved g/2,25997
A* solved,49269
A* solved g/4,20520
Depth solved,36528
Breadth solved,25455
A* solved g(n)=0,20536
A* solved g/2,16785
Breadth solved,20339
A* solved,36838
Depth solved,30066
A* solved g(n)=0,11323
A* solved g/4,11298
A* solved g/4,37788
Depth solved,27318
A* solved g/2,32286
A* solved,36226
Breadth solved,18657
A* solved g(n)=0,32368
A* solved,57742
A* solved g/4,21099
A* solved g(n)=0,21092
A* solved g/2,21107
Breadth solved,26675
Depth solved,40271
A* solved g(n)=0,35299
Depth solved,19502
A* solved,40777
Breadth solved,20813
A* solved g/2,30135
A* solved g/4,30131
A* solved g(n)=0,19844
A* solved g/2,14681
Depth solved,10226
A* solved,24239
A* solved g/4,14632
Breadth solved,12428
A* solved g/2,40645
A* solved,51153
A* solved g(n)=0,35365
Breadth solved,26478
Depth solved,25511
A* solved g/4,35486
Depth solved,37890
A* solved g/4,42611
Breadth solved,21668
A* solved g(n)=0,42566
A* solved,42682
A* solved g/2,42592
A* solved g/4,30484
A* solved g/2,25287
A* solved g(n)=0,25309
Breadth solved,26106
A* solved,48418
Depth solved,23799
Depth solved,18963
A* solved g/2,27977
A* solved g(n)=0,27963
A* solved,31291
Breadth solved,15979
A* solved g/4,27989
A* solved,33057
A* solved g/4,17611
A* solved g(n)=0,17586
Depth solved,38904
Breadth solved,15283
A* solved g/2,17538
Breadth solved,33223
A* solved g/4,25524
Depth solved,36438
A* solved g(n)=0,25544
A* solved,54594
A* solved g/2,25543
Depth solved,37896
A* solved g/4,18062
Breadth solved,23808
A* solved g(n)=0,18054
A* solved g/2,18052
A* solved,43759
A* solved g(n)=0,35985
A* solved g/2,30849
A* solved,49129
Breadth solved,25988
A* solved g/4,30823
Depth solved,24596
A* solved g/2,30372
Breadth solved,26585
A* solved g/4,25307
A* solved g(n)=0,25304
A* solved,51647
Depth solved,34326
Breadth solved,21218
A* solved g/4,13006
Depth solved,37393
A* solved g(n)=0,13002
A* solved,29098
A* solved g/2,12997
A* solved g/4,29922
A* solved,54747
Breadth solved,27960
Depth solved,18450
A* solved g(n)=0,24707
A* solved g/2,24735
Breadth solved,27422
A* solved,42018
A* solved g(n)=0,24572
A* solved g/4,24607
A* solved g/2,24476
Depth solved,21319
Depth solved,29550
A* solved,42984
A* solved g(n)=0,37475
Breadth solved,21975
A* solved g/4,37476
A* solved g/2,37479
Breadth solved,32988
Depth solved,23106
A* solved g/2,50677
A* solved,53946
A* solved g/4,50632
A* solved g(n)=0,50722
A* solved g(n)=0,30329
A* solved,38928
A* solved g/4,25062
Breadth solved,20579
A* solved g/2,25146
Depth solved,18469
Depth solved,28379
Breadth solved,27935
A* solved g(n)=0,53990
A* solved,55159
A* solved g/4,53991
A* solved g/2,53976
A* solved g(n)=0,52152
A* solved g/2,46892
Breadth solved,25754
A* solved,50109
Depth solved,27429
A* solved g/4,46695
Breadth solved,20803
A* solved g/4,24364
A* solved g(n)=0,24318
A* solved,30399
A* solved g/2,24261
Depth solved,16961
A* solved g/4,18263
Depth solved,34241
A* solved g(n)=0,13143
A* solved g/2,13167
A* solved,25852
Breadth solved,13471
Depth solved,23501
Breadth solved,16566
A* solved g/2,16013
A* solved g(n)=0,16017
A* solved g/4,16032
A* solved,28974
A* solved g(n)=0,37327
Breadth solved,16453
A* solved g/4,32086
Depth solved,21815
A* solved,32801
A* solved g/2,32082
A* solved g/4,47252
A* solved g/2,41839
Breadth solved,22944
A* solved,44359
A* solved g(n)=0,41923
Depth solved,29030
A* solved g/2,31985
A* solved g/4,26806
Breadth solved,19288
A* solved g(n)=0,26833
A* solved,38009
Depth solved,17447
A* solved,54631
A* solved g/2,35410
Breadth solved,25431
Depth solved,20547
A* solved g(n)=0,35405
A* solved g/4,35430
Depth solved,37421
A* solved g(n)=0,34788
A* solved g/2,34886
Breadth solved,22733
A* solved g/4,34873
A* solved,42421
Breadth solved,24188
Depth solved,18165
A* solved,33447
A* solved g/2,19885
A* solved g(n)=0,19968
A* solved g/4,19975
A* solved,34567
Depth solved,38919
A* solved g/2,26958
A* solved g/4,26930
Breadth solved,15939
A* solved g(n)=0,26975
A* solved g/2,22623
Depth solved,28126
A* solved,29071
A* solved g/4,17487
A* solved g(n)=0,17448
Breadth solved,16603
Depth solved,22638
A* solved,28020
A* solved g/2,19537
A* solved g/4,19492
Breadth solved,15647
A* solved g(n)=0,19531
A* solved g/4,54884
A* solved,51679
A* solved g/2,49554
A* solved g(n)=0,49518
Breadth solved,26633
Depth solved,23581
Breadth solved,30443
A* solved,47112
A* solved g/4,15305
A* solved g/2,15298
Depth solved,34139
A* solved g(n)=0,15288
Breadth solved,27014
A* solved,37748
Depth solved,36057
A* solved g/4,19890
A* solved g(n)=0,19896
A* solved g/2,19853
Breadth solved,20708
A* solved g/2,19828
A* solved,27050
A* solved g(n)=0,19901
Depth solved,18604
A* solved g/4,19803
A* solved,39107
A* solved g(n)=0,29985
A* solved g/4,29994
A* solved g/2,29967
Depth solved,36793
Breadth solved,19557
Breadth solved,20114
Depth solved,33218
A* solved,28658
A* solved g/4,17488
A* solved g(n)=0,17445
A* solved g/2,17415
A* solved g(n)=0,24631
Depth solved,8993
Breadth solved,12447
A* solved,24252
A* solved g/2,19328
A* solved g/4,19425
Breadth solved,32252
A* solved g(n)=0,34074
Depth solved,14067
A* solved,49651
A* solved g/4,34078
A* solved g/2,34072
A* solved g/2,45062
Depth solved,17394
A* solved,50663
A* solved g(n)=0,39776
A* solved g/4,39761
Breadth solved,26351
A* solved g/4,19151
A* solved g(n)=0,13958
A* solved,27439
Breadth solved,14013
A* solved g/2,26363
Depth solved,35454
A* solved g/2,19740
A* solved g/4,14478
A* solved g(n)=0,14128
A* solved,31000
Depth solved,47623
Breadth solved,18110
Depth solved,35168
A* solved g(n)=0,18732
A* solved g/2,18863
A* solved g/4,18898
Breadth solved,21768
A* solved,40786
A* solved g(n)=0,31717
Breadth solved,16142
A* solved g/2,27375
A* solved,30730
A* solved g/4,27373
Depth solved,43701
A* solved g(n)=0,52043
Depth solved,13209
A* solved,21617
A* solved g/2,50090
Breadth solved,12881
A* solved g/4,50089
A* solved,36374
Depth solved,34630
A* solved g/4,42941
Breadth solved,19322
A* solved g/2,42907
A* solved g(n)=0,42947
A* solved g/2,18249
A* solved g/4,13044
Breadth solved,17167
A* solved,31926
Depth solved,20650
A* solved g(n)=0,13032
Depth solved,46600
A* solved g/4,13676
Breadth solved,26236
A* solved g(n)=0,13666
A* solved,47656
A* solved g/2,13679
A* solved g/2,24141
A* solved g(n)=0,18922
Breadth solved,14791
A* solved g/4,18970
Depth solved,10898
A* solved,27247
A* solved,55963
A* solved g(n)=0,37863
A* solved g/2,37837
Breadth solved,26111
A* solved g/4,37828
Depth solved,30534
A* solved g(n)=0,18083
Breadth solved,14329
Depth solved,33683
A* solved g/2,12908
A* solved,24322
A* solved g/4,12918
Depth solved,27418
A* solved g(n)=0,29932
A* solved,54338
A* solved g/2,29952
Breadth solved,27720
A* solved g/4,29776
A* solved,54179
A* solved g/4,24803
A* solved g(n)=0,24742
A* solved g/2,24798
Breadth solved,24912
Depth solved,37592
Breadth solved,20229
Depth solved,8667
A* solved,27910
A* solved g(n)=0,16159
A* solved g/4,16130
A* solved g/2,16150
A* solved,43011
Depth solved,19961
A* solved g/2,37263
A* solved g(n)=0,27655
Breadth solved,20272
A* solved g/4,37220
Depth solved,42745
A* solved,35272
A* solved g/4,34032
Breadth solved,17923
A* solved g(n)=0,34110
A* solved g/2,34086
Depth solved,17775
A* solved,16721
Breadth solved,8696
A* solved g/2,14335
A* solved g(n)=0,14339
A* solved g/4,14336
Depth solved,42241
A* solved g(n)=0,23923
Breadth solved,19052
A* solved,36719
A* solved g/4,23927
A* solved g/2,23929
A* solved g(n)=0,29654
Breadth solved,20200
A* solved g/4,24487
Depth solved,29988
A* solved g/2,24441
A* solved,39094
A* solved g/4,39686
A* solved g(n)=0,34536
A* solved g/2,34413
A* solved,46077
Breadth solved,24989
Depth solved,26969
A* solved g/4,34164
A* solved g(n)=0,28995
Depth solved,26395
A* solved,36939
A* solved g/2,28987
Breadth solved,20242
Depth solved,41285
A* solved g/4,31043
A* solved g/2,31058
A* solved g(n)=0,31044
Breadth solved,24021
A* solved,43689
Breadth solved,23304
A* solved,35671
A* solved g/4,27902
A* solved g/2,27776
A* solved g(n)=0,27890
Depth solved,36383
Breadth solved,31446
A* solved,50635
Depth solved,33478
A* solved g/2,35574
A* solved g/4,35563
A* solved g(n)=0,35587
Depth solved,20820
A* solved g(n)=0,25743
A* solved g/4,25700
A* solved,33927
Breadth solved,18263
A* solved g/2,25740
A* solved,41775
Depth solved,30291
A* solved g/4,20799
A* solved g/2,20851
A* solved g(n)=0,20854
Breadth solved,18886
Breadth solved,21419
A* solved g/4,27531
A* solved,29643
Depth solved,44220
A* solved g/2,27467
A* solved g(n)=0,27493
A* solved g/4,16197
A* solved,29141
A* solved g(n)=0,11011
Breadth solved,17051
A* solved g/2,11017
Depth solved,20426
Breadth solved,19832
Depth solved,6944
A* solved g(n)=0,12517
A* solved g/4,12541
A* solved g/2,12520
A* solved,25624
A* solved g/4,34044
A* solved,31962
Breadth solved,16178
Depth solved,45808
A* solved g/2,28902
A* solved g(n)=0,28923
A* solved g/2,46965
A* solved g/4,41699
A* solved g(n)=0,41809
Depth solved,34699
A* solved,41897
Breadth solved,21392
Depth solved,37499
A* solved g/4,41103
A* solved g/2,41146
A* solved,53052
A* solved g(n)=0,41109
Breadth solved,28025
A* solved g/2,29934
A* solved g/4,24742
Breadth solved,17624
A* solved,31194
A* solved g(n)=0,24778
Depth solved,27584
Breadth solved,22544
Depth solved,27195
A* solved g(n)=0,9295
A* solved,32120
A* solved g/4,9284
A* solved g/2,9292
Breadth solved,21547
A* solved g/4,29183
A* solved,32601
A* solved g/2,29213
A* solved g(n)=0,29143
Depth solved,14890
A* solved g/2,27004
A* solved g(n)=0,21862
A* solved,43226
Depth solved,36476
A* solved g/4,21835
Breadth solved,23373
Depth solved,33150
A* solved g/4,31502
Breadth solved,26971
A* solved g/2,31537
A* solved g(n)=0,31591
A* solved,51626
Breadth solved,24894
Depth solved,10015
A* solved g/2,18694
A* solved g(n)=0,16942
A* solved,38243
A* solved g/4,16957
Depth solved,41964
A* solved g/2,30625
Breadth solved,17738
A* solved g(n)=0,21434
A* solved g/4,21444
A* solved,33593
A* solved g/2,39081
A* solved,47684
A* solved g/4,33993
Breadth solved,25820
Depth solved,19073
A* solved g(n)=0,33953
A* solved,56684
A* solved g(n)=0,43502
Breadth solved,26225
Depth solved,13581
A* solved g/4,43996
A* solved g/2,44104
Depth solved,36007
Breadth solved,16322
A* solved g/2,25379
A* solved g/4,25397
A* solved g(n)=0,25437
A* solved,29914
Depth solved,41775
A* solved g/2,31705
A* solved g/4,31739
A* solved,41343
A* solved g(n)=0,31683
Breadth solved,21414
A* solved g/2,36121
A* solved g/4,30945
A* solved g(n)=0,30924
Breadth solved,20328
A* solved,39471
Depth solved,20401
A* solved g/2,34777
A* solved g/4,29671
Depth solved,23449
Breadth solved,24925
A* solved g(n)=0,29671
A* solved,47048
A* solved g/2,29919
A* solved,38703
Breadth solved,21246
Depth solved,15208
A* solved g(n)=0,24529
A* solved g/4,24733
A* solved g/4,13353
Depth solved,12083
A* solved g(n)=0,8174
A* solved g/2,8159
Breadth solved,8270
A* solved,16216
A* solved g/2,26282
A* solved g(n)=0,21143
Breadth solved,20015
A* solved g/4,21137
A* solved,37924
Depth solved,35585
A* solved g(n)=0,40483
Breadth solved,21802
A* solved,42330
Depth solved,36475
A* solved g/4,35374
A* solved g/2,35371
A* solved,30214
A* solved g/2,7415
Depth solved,16340
A* solved g(n)=0,7423
A* solved g/4,7404
Breadth solved,16007
A* solved g/4,21885
A* solved g(n)=0,16701
A* solved,29100
Breadth solved,15710
Depth solved,15044
A* solved g/2,16695
A* solved,57490
Breadth solved,26666
A* solved g(n)=0,33376
Depth solved,18326
A* solved g/4,33274
A* solved g/2,33393
A* solved g/2,56701
Breadth solved,26386
Depth solved,37745
A* solved g(n)=0,51629
A* solved g/4,51635
A* solved,51724
A* solved g(n)=0,11197
Depth solved,26997
A* solved,17333
Breadth solved,10671
A* solved g/4,6035
A* solved g/2,6021
A* solved g/4,47812
A* solved g(n)=0,42612
A* solved,50756
A* solved g/2,42113
Breadth solved,26214
Depth solved,28595
A* solved g(n)=0,39721
A* solved,46900
A* solved g/4,34730
Depth solved,32201
A* solved g/2,34656
Breadth solved,24353
A* solved g(n)=0,47160
A* solved,36430
A* solved g/4,41939
Breadth solved,20771
A* solved g/2,41949
Depth solved,46083
Depth solved,29862
A* solved,38699
A* solved g(n)=0,21741
A* solved g/4,21587
A* solved g/2,21704
Breadth solved,21557
A* solved g/4,12924
A* solved g(n)=0,7630
Depth solved,12515
A* solved,10803
A* solved g/2,7793
Breadth solved,5713
A* solved,34796
Depth solved,37601
A* solved g(n)=0,24652
A* solved g/2,24667
A* solved g/4,24638
Breadth solved,15783
A* solved g/2,40125
Depth solved,28756
A* solved g/4,34972
Breadth solved,21649
A* solved,41904
A* solved g(n)=0,34943
A* solved g/2,27468
Breadth solved,20723
A* solved g/4,23386
Depth solved,12563
A* solved,37751
A* solved g(n)=0,23287
A* solved g/2,34800
A* solved g(n)=0,29599
Depth solved,18334
Breadth solved,22191
A* solved,41916
A* solved g/4,29628
A* solved g/4,18395
Breadth solved,18656
A* solved g(n)=0,13206
A* solved,30844
A* solved g/2,13221
Depth solved,32427
A* solved g/4,21117
Breadth solved,18019
A* solved g/2,15928
A* solved,29845
A* solved g(n)=0,15883
Depth solved,24714
Depth solved,27618
A* solved g/4,31615
A* solved g/2,31645
A* solved g(n)=0,31630
Breadth solved,21615
A* solved,41740
Breadth solved,33532
A* solved g(n)=0,28119
A* solved g/4,28215
Depth solved,15988
A* solved,54124
A* solved g/2,28225
Breadth solved,26445
A* solved g/4,22879
A* solved,35834
A* solved g/2,22877
A* solved g(n)=0,22865
Depth solved,22860
A* solved g/4,12690
A* solved g/2,7387
Depth solved,17862
A* solved g(n)=0,7493
Breadth solved,14411
A* solved,21972
A* solved g/4,39108
A* solved,33261
Breadth solved,18920
A* solved g(n)=0,33986
A* solved g/2,33859
Depth solved,12284
A* solved g(n)=0,25290
Breadth solved,14432
Depth solved,45387
A* solved g/4,20090
A* solved g/2,20111
A* solved,28585
A* solved g(n)=0,33889
Depth solved,15986
Breadth solved,16347
A* solved,31899
A* solved g/4,28708
A* solved g/2,28711
A* solved g/2,28238
A* solved g(n)=0,23022
A* solved,31923
A* solved g/4,23109
Depth solved,19870
Breadth solved,17578
A* solved,48401
A* solved g/2,40686
A* solved g(n)=0,40549
Breadth solved,22964
Depth solved,19378
A* solved g/4,40606
A* solved g(n)=0,22363
A* solved g/2,17223
Depth solved,35124
A* solved g/4,17211
Breadth solved,14266
A* solved,25572
Depth solved,37698
A* solved g/4,18594
A* solved,29694
A* solved g/2,18581
Breadth solved,16354
A* solved g(n)=0,18565
A* solved,37941
Breadth solved,18566
A* solved g/2,14427
A* solved g/4,14402
Depth solved,47065
A* solved g(n)=0,14436
Depth solved,26737
A* solved,40973
A* solved g/4,28668
A* solved g/2,28812
A* solved g(n)=0,28827
Breadth solved,20813
Breadth solved,26179
A* solved g/4,14391
A* solved g/2,14399
A* solved g(n)=0,14429
A* solved,38502
Depth solved,49159
Breadth solved,22069
A* solved g/2,22557
A* solved,32993
A* solved g/4,22510
A* solved g(n)=0,22501
Depth solved,43247
Depth solved,23158
A* solved g/4,22080
Breadth solved,19086
A* solved g(n)=0,22037
A* solved g/2,22031
A* solved,29331
A* solved g/2,23554
A* solved,30501
A* solved g(n)=0,18254
Depth solved,23242
A* solved g/4,18373
Breadth solved,16994
A* solved,39772
Breadth solved,18220
Depth solved,25603
A* solved g/2,27172
A* solved g(n)=0,27202
A* solved g/4,27180
A* solved g(n)=0,22597
Depth solved,24512
A* solved,32916
A* solved g/4,17461
A* solved g/2,17465
Breadth solved,16894
Depth solved,28554
A* solved g(n)=0,10402
A* solved g/4,10412
A* solved,29123
A* solved g/2,10410
Breadth solved,17409
A* solved g/2,32995
A* solved g/4,27653
A* solved,40293
Depth solved,48245
Breadth solved,20387
A* solved g(n)=0,27655
A* solved g/4,32537
Breadth solved,20689
A* solved g(n)=0,27415
A* solved g/2,27422
A* solved,37889
Depth solved,36296
Breadth solved,30001
A* solved,46626
A* solved g(n)=0,12588
A* solved g/4,12587
Depth solved,42609
A* solved g/2,12573
Breadth solved,23356
A* solved g/4,18749
Depth solved,45580
A* solved g(n)=0,18740
A* solved,32172
A* solved g/2,18700
A* solved g(n)=0,20281
A* solved g/4,15033
Breadth solved,17936
A* solved g/2,15170
Depth solved,46822
A* solved,35205
A* solved g(n)=0,45935
Depth solved,34573
Breadth solved,26358
A* solved,51900
A* solved g/2,40780
A* solved g/4,40733
Breadth solved,32242
A* solved g(n)=0,36346
A* solved g/4,36398
A* solved g/2,36285
Depth solved,22592
A* solved,53009
A* solved,51683
Breadth solved,24973
Depth solved,12923
A* solved g/4,40941
A* solved g(n)=0,41013
A* solved g/2,41024
A* solved g(n)=0,29802
A* solved,32873
Depth solved,35318
A* solved g/4,24621
A* solved g/2,24591
Breadth solved,20275
A* solved g/2,32659
Breadth solved,22577
A* solved g(n)=0,27586
A* solved g/4,27625
A* solved,42716
Depth solved,24567
Depth solved,28276
A* solved g/2,36778
Breadth solved,28296
A* solved,55402
A* solved g/4,36857
A* solved g(n)=0,36814
Breadth solved,27615
A* solved,40461
Depth solved,8786
A* solved g/4,46052
A* solved g/2,46070
A* solved g(n)=0,46052
A* solved g/4,30205
A* solved g/2,25019
A* solved,38819
A* solved g(n)=0,24972
Breadth solved,20680
Depth solved,46859
A* solved g/4,29788
A* solved g(n)=0,24505
Breadth solved,27021
A* solved g/2,24930
Depth solved,37211
A* solved,52840
Breadth solved,28971
Depth solved,18579
A* solved,41733
A* solved g/4,30000
A* solved g/2,29977
A* solved g(n)=0,10335
Breadth solved,23513
Depth solved,51028
A* solved g/4,51098
A* solved g(n)=0,50980
A* solved,33984
A* solved g/2,51118
Breadth solved,16696
A* solved g(n)=0,26398
A* solved g/4,26492
A* solved g/2,26442
A* solved,18576
Depth solved,47434
A* solved g/2,21269
Breadth solved,20221
A* solved,38649
A* solved g(n)=0,16103
Depth solved,35553
A* solved g/4,16111
Depth solved,53788
A* solved g(n)=0,32965
A* solved g/4,32977
A* solved,37216
Breadth solved,20531
A* solved g/2,32960
Breadth solved,27965
A* solved g/4,18053
A* solved g/2,18094
A* solved,42605
A* solved g(n)=0,18030
Depth solved,31397
A* solved g/2,13476
A* solved g(n)=0,8283
Depth solved,41953
A* solved g/4,8293
A* solved,19504
Breadth solved,9929
Depth solved,39979
A* solved g/2,25859
A* solved g(n)=0,26002
A* solved,29930
A* solved g/4,25974
Breadth solved,15633
A* solved,47579
Breadth solved,23497
Depth solved,41187
A* solved g/2,14301
A* solved g/4,14286
A* solved g(n)=0,14243
A* solved g/2,41628
A* solved g(n)=0,36420
Breadth solved,21446
A* solved,40811
Depth solved,44177
A* solved g/4,36393
A* solved g/2,41113
A* solved,48585
A* solved g/4,35963
Breadth solved,26819
Depth solved,20180
A* solved g(n)=0,35926
Breadth solved,22555
A* solved g/2,13523
A* solved g/4,13524
Depth solved,29878
A* solved g(n)=0,13368
A* solved,30744
Depth solved,53188
Breadth solved,10117
A* solved g/4,13890
A* solved g(n)=0,13951
A* solved g/2,13946
A* solved,19941
A* solved,24319
Breadth solved,12601
A* solved g/4,12351
A* solved g(n)=0,12258
A* solved g/2,12349
Depth solved,5694
A* solved g(n)=0,47253
A* solved,49996
A* solved g/4,42084
A* solved g/2,42076
Depth solved,28071
Breadth solved,26264
Depth solved,15351
A* solved g/2,13057
A* solved g(n)=0,13062
Breadth solved,23788
A* solved g/4,13056
A* solved,44667
A* solved g/4,36486
A* solved g/2,31341
Breadth solved,26404
Depth solved,29115
A* solved g(n)=0,31350
A* solved,50882
A* solved,33153
Depth solved,8198
A* solved g/2,19872
Breadth solved,14647
A* solved g(n)=0,19782
A* solved g/4,19858
A* solved,60702
Depth solved,24810
Breadth solved,28276
A* solved g(n)=0,55355
A* solved g/2,55405
A* solved g/4,55328
A* solved g/2,30495
A* solved g(n)=0,25283
Depth solved,5368
Breadth solved,14561
A* solved g/4,25312
A* solved,27781
A* solved g/2,22743
A* solved g(n)=0,17550
A* solved g/4,17579
Depth solved,36746
A* solved,28614
Breadth solved,15894
A* solved g(n)=0,22724
A* solved g/4,17426
A* solved,41971
Depth solved,36350
Breadth solved,22562
A* solved g/2,17496
A* solved g/4,31988
A* solved g(n)=0,26784
Depth solved,35395
A* solved,39898
A* solved g/2,26822
Breadth solved,21525
A* solved g/4,23305
Depth solved,35943
A* solved g(n)=0,18069
A* solved,27053
Breadth solved,15628
A* solved g/2,18160
A* solved g/2,42611
Breadth solved,21726
A* solved g/4,37300
Depth solved,20345
A* solved g(n)=0,37173
A* solved,42955
A* solved,28865
Breadth solved,12763
A* solved g/4,18043
Depth solved,16938
A* solved g(n)=0,18033
A* solved g/2,18070
A* solved g(n)=0,22849
Depth solved,46276
Breadth solved,10359
A* solved g/4,17690
A* solved,20010
A* solved g/2,17654
Depth solved,17081
Breadth solved,20245
A* solved g(n)=0,30564
A* solved g/2,30593
A* solved,39096
A* solved g/4,30580
Breadth solved,22625
A* solved g/2,25706
A* solved,33378
Depth solved,33879
A* solved g(n)=0,25635
A* solved g/4,25718
A* solved g(n)=0,28573
Depth solved,14519
A* solved g/4,23426
A* solved g/2,23462
Breadth solved,26386
A* solved,50182
A* solved g(n)=0,20952
Breadth solved,18531
A* solved g/4,15763
A* solved g/2,15782
A* solved,34005
Depth solved,26270
A* solved,38706
A* solved g/4,44532
A* solved g/2,44537
Depth solved,37720
A* solved g(n)=0,44401
Breadth solved,20048
Breadth solved,33048
A* solved g(n)=0,48647
Depth solved,38318
A* solved g/2,48725
A* solved g/4,48800
A* solved,54775
A* solved g/2,32530
A* solved g/4,35831
Depth solved,26549
Breadth solved,23935
A* solved,46425
A* solved g(n)=0,35928
A* solved,19996
A* solved g/2,5847
A* solved g(n)=0,5860
A* solved g/4,5860
Depth solved,5505
Breadth solved,10661
Depth solved,25800
Breadth solved,14935
A* solved g/4,22059
A* solved g/2,22062
A* solved g(n)=0,22086
A* solved,27441
A* solved g(n)=0,43636
Depth solved,27148
A* solved g/4,38518
A* solved g/2,38498
Breadth solved,21065
A* solved,40539
A* solved,20222
A* solved g/4,9827
A* solved g/2,9812
Depth solved,8290
A* solved g(n)=0,9725
Breadth solved,7709
Breadth solved,25701
Depth solved,14762
A* solved g(n)=0,25440
A* solved,37735
A* solved g/4,25383
A* solved g/2,25431
A* solved g/2,17281
Breadth solved,11570
A* solved g(n)=0,12090
A* solved g/4,12095
Depth solved,38067
A* solved,20468
Breadth solved,18743
Depth solved,26216
A* solved g/2,23434
A* solved,24913
A* solved g(n)=0,23354
A* solved g/4,23350
A* solved g/4,34731
Depth solved,41977
Breadth solved,21471
A* solved g(n)=0,29535
A* solved,42067
A* solved g/2,29541
A* solved g(n)=0,23823
Depth solved,9943
A* solved g/4,18619
A* solved g/2,18636
A* solved,45175
Breadth solved,23389
A* solved,58574
Depth solved,22561
A* solved g/4,37270
Breadth solved,27221
A* solved g(n)=0,37216
A* solved g/2,37311
A* solved g/4,37493
A* solved,34564
A* solved g(n)=0,32286
Depth solved,45754
A* solved g/2,32315
Breadth solved,17682
A* solved g/4,25647
Depth solved,7687
Breadth solved,14365
A* solved g(n)=0,20373
A* solved,27006
A* solved g/2,20468
Breadth solved,23180
Depth solved,24028
A* solved g(n)=0,14138
A* solved,32364
A* solved g/2,14162
A* solved g/4,14139
A* solved g/2,27049
A* solved g(n)=0,21968
Breadth solved,17624
Depth solved,19919
A* solved,31557
A* solved g/4,22007
Breadth solved,21744
A* solved g/2,18600
Depth solved,30094
A* solved g(n)=0,18600
A* solved,29031
A* solved g/4,18638
A* solved g/2,23061
A* solved,43683
A* solved g/4,17886
Breadth solved,24249
A* solved g(n)=0,17873
Depth solved,24660
A* solved,36174
A* solved g(n)=0,21148
A* solved g/4,21126
Breadth solved,17604
A* solved g/2,21133
Depth solved,41325
A* solved,57123
A* solved g(n)=0,51452
Breadth solved,27335
A* solved g/4,51641
Depth solved,35252
A* solved g/2,51806
A* solved,42759
Depth solved,34390
A* solved g/2,18802
Breadth solved,19216
A* solved g/4,18789
A* solved g(n)=0,18760
A* solved g(n)=0,51869
Depth solved,32540
A* solved g/4,45937
Breadth solved,27409
A* solved g/2,45948
A* solved,53963
Breadth solved,20351
A* solved g(n)=0,25492
A* solved g/2,25673
A* solved g/4,25820
A* solved,29015
Depth solved,26289
A* solved g(n)=0,34841
A* solved,32089
Breadth solved,17081
A* solved g/4,29664
Depth solved,35715
A* solved g/2,29534
Depth solved,48743
A* solved g(n)=0,23245
Breadth solved,25104
A* solved g/4,23237
A* solved,46563
A* solved g/2,23259
A* solved,35740
A* solved g(n)=0,27511
A* solved g/2,27540
A* solved g/4,27502
Depth solved,33908
Breadth solved,16527
A* solved,57020
A* solved g(n)=0,35244
A* solved g/4,35246
A* solved g/2,35219
Breadth solved,27278
Depth solved,43563
Depth solved,54954
Breadth solved,19674
A* solved g(n)=0,12289
A* solved g/4,12313
A* solved,35205
A* solved g/2,12279
A* solved,47717
A* solved g/4,30924
A* solved g(n)=0,30931
A* solved g/2,30965
Depth solved,37430
Breadth solved,23129
Depth solved,23861
A* solved g(n)=0,19542
A* solved g/4,19481
A* solved,46368
Breadth solved,25324
A* solved g/2,19506
Depth solved,49138
A* solved,35089
A* solved g/4,35618
Breadth solved,21565
A* solved g/2,35643
A* solved g(n)=0,35685
Breadth solved,33436
A* solved,54251
A* solved g/4,26558
A* solved g/2,26714
Depth solved,35292
A* solved g(n)=0,26573
Breadth solved,29908
A* solved,47800
A* solved g(n)=0,37644
A* solved g/4,37641
A* solved g/2,37555
Depth solved,34106
Breadth solved,25283
A* solved g/2,39094
A* solved,38817
Depth solved,39257
A* solved g/4,39210
A* solved g(n)=0,39278
A* solved g/2,28619
A* solved g(n)=0,23408
A* solved,31159
Depth solved,33494
A* solved g/4,23318
Breadth solved,16484
A* solved g/2,31669
Depth solved,21026
A* solved g(n)=0,26359
A* solved g/4,26431
